id,product,year,day,hour
410,ABI-L1b-RadC,2022,229,02
411,ABI-L1b-RadC,2022,229,03
412,ABI-L1b-RadC,2022,229,04
413,ABI-L1b-RadC,2022,229,05
414,ABI-L1b-RadC,2022,229,06
415,ABI-L1b-RadC,2022,229,07
416,ABI-L1b-RadC,2022,229,08
417,ABI-L1b-RadC,2022,229,09
418,ABI-L1b-RadC,2022,229,10
419,ABI-L1b-RadC,2022,229,11
420,ABI-L1b-RadC,2022,229,12
421,ABI-L1b-RadC,2022,229,13
422,ABI-L1b-RadC,2022,229,14
423,ABI-L1b-RadC,2022,229,15
424,ABI-L1b-RadC,2022,229,16
425,ABI-L1b-RadC,2022,229,17
426,ABI-L1b-RadC,2022,229,18
427,ABI-L1b-RadC,2022,229,19
428,ABI-L1b-RadC,2022,229,20
429,ABI-L1b-RadC,2022,229,21
430,ABI-L1b-RadC,2022,229,22
431,ABI-L1b-RadC,2022,229,23
432,ABI-L1b-RadC,2022,230,00
433,ABI-L1b-RadC,2022,230,01
434,ABI-L1b-RadC,2022,230,02
435,ABI-L1b-RadC,2022,230,03
436,ABI-L1b-RadC,2022,230,04
437,ABI-L1b-RadC,2022,230,05
438,ABI-L1b-RadC,2022,230,06
439,ABI-L1b-RadC,2022,230,07
440,ABI-L1b-RadC,2022,230,08
441,ABI-L1b-RadC,2022,230,09
442,ABI-L1b-RadC,2022,230,10
443,ABI-L1b-RadC,2022,230,11
444,ABI-L1b-RadC,2022,230,12
445,ABI-L1b-RadC,2022,230,13
446,ABI-L1b-RadC,2022,230,14
447,ABI-L1b-RadC,2022,230,15
448,ABI-L1b-RadC,2022,230,16
449,ABI-L1b-RadC,2022,230,17
450,ABI-L1b-RadC,2022,230,18
451,ABI-L1b-RadC,2022,230,19
452,ABI-L1b-RadC,2022,230,20
453,ABI-L1b-RadC,2022,230,21
454,ABI-L1b-RadC,2022,230,22
455,ABI-L1b-RadC,2022,230,23
456,ABI-L1b-RadC,2022,231,00
457,ABI-L1b-RadC,2022,231,01
458,ABI-L1b-RadC,2022,231,02
459,ABI-L1b-RadC,2022,231,03
460,ABI-L1b-RadC,2022,231,04
461,ABI-L1b-RadC,2022,231,05
462,ABI-L1b-RadC,2022,231,06
463,ABI-L1b-RadC,2022,231,07
464,ABI-L1b-RadC,2022,231,08
465,ABI-L1b-RadC,2022,231,09
466,ABI-L1b-RadC,2022,231,10
467,ABI-L1b-RadC,2022,231,11
468,ABI-L1b-RadC,2022,231,12
469,ABI-L1b-RadC,2022,231,13
470,ABI-L1b-RadC,2022,231,14
471,ABI-L1b-RadC,2022,231,15
472,ABI-L1b-RadC,2022,231,16
473,ABI-L1b-RadC,2022,231,17
474,ABI-L1b-RadC,2022,231,18
475,ABI-L1b-RadC,2022,231,19
476,ABI-L1b-RadC,2022,231,20
477,ABI-L1b-RadC,2022,231,21
478,ABI-L1b-RadC,2022,231,22
479,ABI-L1b-RadC,2022,231,23
480,ABI-L1b-RadC,2022,232,00
481,ABI-L1b-RadC,2022,232,01
482,ABI-L1b-RadC,2022,232,02
483,ABI-L1b-RadC,2022,232,03
484,ABI-L1b-RadC,2022,232,04
485,ABI-L1b-RadC,2022,232,05
486,ABI-L1b-RadC,2022,232,06
487,ABI-L1b-RadC,2022,232,07
488,ABI-L1b-RadC,2022,232,08
489,ABI-L1b-RadC,2022,232,09
490,ABI-L1b-RadC,2022,232,10
491,ABI-L1b-RadC,2022,232,11
492,ABI-L1b-RadC,2022,232,12
493,ABI-L1b-RadC,2022,232,13
494,ABI-L1b-RadC,2022,232,14
495,ABI-L1b-RadC,2022,232,15
496,ABI-L1b-RadC,2022,232,16
497,ABI-L1b-RadC,2022,232,17
498,ABI-L1b-RadC,2022,232,18
499,ABI-L1b-RadC,2022,232,19
500,ABI-L1b-RadC,2022,232,20
501,ABI-L1b-RadC,2022,232,21
502,ABI-L1b-RadC,2022,232,22
503,ABI-L1b-RadC,2022,232,23
504,ABI-L1b-RadC,2022,233,00
505,ABI-L1b-RadC,2022,233,01
506,ABI-L1b-RadC,2022,233,02
507,ABI-L1b-RadC,2022,233,03
508,ABI-L1b-RadC,2022,233,04
509,ABI-L1b-RadC,2022,233,05
510,ABI-L1b-RadC,2022,233,06
511,ABI-L1b-RadC,2022,233,07
512,ABI-L1b-RadC,2022,233,08
513,ABI-L1b-RadC,2022,233,09
514,ABI-L1b-RadC,2022,233,10
515,ABI-L1b-RadC,2022,233,11
516,ABI-L1b-RadC,2022,233,12
517,ABI-L1b-RadC,2022,233,13
518,ABI-L1b-RadC,2022,233,14
519,ABI-L1b-RadC,2022,233,15
520,ABI-L1b-RadC,2022,233,16
521,ABI-L1b-RadC,2022,233,17
522,ABI-L1b-RadC,2022,233,18
523,ABI-L1b-RadC,2022,233,19
524,ABI-L1b-RadC,2022,233,20
525,ABI-L1b-RadC,2022,233,21
526,ABI-L1b-RadC,2022,233,22
527,ABI-L1b-RadC,2022,233,23
528,ABI-L1b-RadC,2022,234,00
529,ABI-L1b-RadC,2022,234,01
530,ABI-L1b-RadC,2022,234,02
531,ABI-L1b-RadC,2022,234,03
532,ABI-L1b-RadC,2022,234,04
533,ABI-L1b-RadC,2022,234,05
534,ABI-L1b-RadC,2022,234,06
535,ABI-L1b-RadC,2022,234,07
536,ABI-L1b-RadC,2022,234,08
537,ABI-L1b-RadC,2022,234,09
538,ABI-L1b-RadC,2022,234,10
539,ABI-L1b-RadC,2022,234,11
540,ABI-L1b-RadC,2022,234,12
541,ABI-L1b-RadC,2022,234,13
542,ABI-L1b-RadC,2022,234,14
543,ABI-L1b-RadC,2022,234,15
544,ABI-L1b-RadC,2022,234,16
545,ABI-L1b-RadC,2022,234,17
546,ABI-L1b-RadC,2022,234,18
547,ABI-L1b-RadC,2022,234,19
548,ABI-L1b-RadC,2022,234,20
549,ABI-L1b-RadC,2022,234,21
550,ABI-L1b-RadC,2022,234,22
551,ABI-L1b-RadC,2022,234,23
552,ABI-L1b-RadC,2022,235,00
553,ABI-L1b-RadC,2022,235,01
554,ABI-L1b-RadC,2022,235,02
555,ABI-L1b-RadC,2022,235,03
556,ABI-L1b-RadC,2022,235,04
557,ABI-L1b-RadC,2022,235,05
558,ABI-L1b-RadC,2022,235,06
559,ABI-L1b-RadC,2022,235,07
560,ABI-L1b-RadC,2022,235,08
561,ABI-L1b-RadC,2022,235,09
562,ABI-L1b-RadC,2022,235,10
563,ABI-L1b-RadC,2022,235,11
564,ABI-L1b-RadC,2022,235,12
565,ABI-L1b-RadC,2022,235,13
566,ABI-L1b-RadC,2022,235,14
567,ABI-L1b-RadC,2022,235,15
568,ABI-L1b-RadC,2022,235,16
569,ABI-L1b-RadC,2022,235,17
570,ABI-L1b-RadC,2022,235,18
571,ABI-L1b-RadC,2022,235,19
572,ABI-L1b-RadC,2022,235,20
573,ABI-L1b-RadC,2022,235,21
574,ABI-L1b-RadC,2022,235,22
575,ABI-L1b-RadC,2022,235,23
576,ABI-L1b-RadC,2022,236,00
577,ABI-L1b-RadC,2022,236,01
578,ABI-L1b-RadC,2022,236,02
579,ABI-L1b-RadC,2022,236,03
580,ABI-L1b-RadC,2022,236,04
581,ABI-L1b-RadC,2022,236,05
582,ABI-L1b-RadC,2022,236,06
583,ABI-L1b-RadC,2022,236,07
584,ABI-L1b-RadC,2022,236,08
585,ABI-L1b-RadC,2022,236,09
586,ABI-L1b-RadC,2022,236,10
587,ABI-L1b-RadC,2022,236,11
588,ABI-L1b-RadC,2022,236,12
589,ABI-L1b-RadC,2022,236,13
590,ABI-L1b-RadC,2022,236,14
591,ABI-L1b-RadC,2022,236,15
592,ABI-L1b-RadC,2022,236,16
593,ABI-L1b-RadC,2022,236,17
594,ABI-L1b-RadC,2022,236,18
595,ABI-L1b-RadC,2022,236,19
596,ABI-L1b-RadC,2022,236,20
597,ABI-L1b-RadC,2022,236,21
598,ABI-L1b-RadC,2022,236,22
599,ABI-L1b-RadC,2022,236,23
600,ABI-L1b-RadC,2022,237,00
601,ABI-L1b-RadC,2022,237,01
602,ABI-L1b-RadC,2022,237,02
603,ABI-L1b-RadC,2022,237,03
604,ABI-L1b-RadC,2022,237,04
605,ABI-L1b-RadC,2022,237,05
606,ABI-L1b-RadC,2022,237,06
607,ABI-L1b-RadC,2022,237,07
608,ABI-L1b-RadC,2022,237,08
609,ABI-L1b-RadC,2022,237,09
610,ABI-L1b-RadC,2022,237,10
611,ABI-L1b-RadC,2022,237,11
612,ABI-L1b-RadC,2022,237,12
613,ABI-L1b-RadC,2022,237,13
614,ABI-L1b-RadC,2022,237,14
615,ABI-L1b-RadC,2022,237,15
616,ABI-L1b-RadC,2022,237,16
617,ABI-L1b-RadC,2022,237,17
618,ABI-L1b-RadC,2022,237,18
619,ABI-L1b-RadC,2022,237,19
620,ABI-L1b-RadC,2022,237,20
621,ABI-L1b-RadC,2022,237,21
622,ABI-L1b-RadC,2022,237,22
623,ABI-L1b-RadC,2022,237,23
624,ABI-L1b-RadC,2022,238,00
625,ABI-L1b-RadC,2022,238,01
626,ABI-L1b-RadC,2022,238,02
627,ABI-L1b-RadC,2022,238,03
628,ABI-L1b-RadC,2022,238,04
629,ABI-L1b-RadC,2022,238,05
630,ABI-L1b-RadC,2022,238,06
631,ABI-L1b-RadC,2022,238,07
632,ABI-L1b-RadC,2022,238,08
633,ABI-L1b-RadC,2022,238,09
634,ABI-L1b-RadC,2022,238,10
635,ABI-L1b-RadC,2022,238,11
636,ABI-L1b-RadC,2022,238,12
637,ABI-L1b-RadC,2022,238,13
638,ABI-L1b-RadC,2022,238,14
639,ABI-L1b-RadC,2022,238,15
640,ABI-L1b-RadC,2022,238,16
641,ABI-L1b-RadC,2022,238,17
642,ABI-L1b-RadC,2022,238,18
643,ABI-L1b-RadC,2022,238,19
644,ABI-L1b-RadC,2022,238,20
645,ABI-L1b-RadC,2022,238,21
646,ABI-L1b-RadC,2022,238,22
647,ABI-L1b-RadC,2022,238,23
648,ABI-L1b-RadC,2022,239,00
649,ABI-L1b-RadC,2022,239,01
650,ABI-L1b-RadC,2022,239,02
651,ABI-L1b-RadC,2022,239,03
652,ABI-L1b-RadC,2022,239,04
653,ABI-L1b-RadC,2022,239,05
654,ABI-L1b-RadC,2022,239,06
655,ABI-L1b-RadC,2022,239,07
656,ABI-L1b-RadC,2022,239,08
657,ABI-L1b-RadC,2022,239,09
658,ABI-L1b-RadC,2022,239,10
659,ABI-L1b-RadC,2022,239,11
660,ABI-L1b-RadC,2022,239,12
661,ABI-L1b-RadC,2022,239,13
662,ABI-L1b-RadC,2022,239,14
663,ABI-L1b-RadC,2022,239,15
664,ABI-L1b-RadC,2022,239,16
